event,sex,athlete,nationality,date,time_raw,time_seconds,wind,auto_raw
4x100m_relays,women,Vera Kalashnikova; Sinaida Safronova; Nadezhda Khnykina; Irina Turova,,1953-09-20,45.6,45.6,,
4x100m_relays,women,Lidia Polinitschenko; Galina Vinogradova; Sinaida Safronova; Maria Itkina,,1955-09-11,45.6,45.6,,
4x100m_relays,women,Vera Krepkina; Olga Kosheleva; Maria Itkina; Irina Botskarova,,1956-07-27,45.2,45.2,,
4x100m_relays,women,Erika Fisch; Gisela Köhler; Christa Stubnick; Bärbel Mayer,,1956-09-30,45.1,45.1,,
4x100m_relays,women,Maria Sander; Christa Stubnick; Gisela Köhler; Bärbel Mayer,,1956-12-01,44.9,44.9,,45.07
4x100m_relays,women,Shirley de la Hunty; Norma Croker; Fleur Mellor; Betty Cuthbert,,1956-12-01,44.5,44.5,,44.65
4x100m_relays,women,Shirley de la Hunty; Norma Croker; Fleur Mellor; Betty Cuthbert,,1956-12-01,44.9,44.9,,45.0
4x100m_relays,women,Martha Hudson; Lucinda Williams; Barbara Jones; Wilma Rudolph,,1960-09-07,44.4,44.4,,44.51
4x100m_relays,women,Willye White; Ernestine Pollards; Vivianne Brown; Wilma Rudolph,,1961-07-15,44.3,44.3,,
4x100m_relays,women,Willye White; Wyomia Tyus; Marilyn White; Edith McGuire,,1964-10-21,43.9,43.9,,43.92
4x100m_relays,women,Lilia Tkatshenko; Galina Bukharina; Vera Popkova; Lyudmila Samotyosova,,1968-08-16,43.9,43.9,,
4x100m_relays,women,Lyudmila Zharkova; Galina Bukharina; Vera Popkova; Lyudmila Samotyosova,,1968-09-27,43.6,43.6,,
4x100m_relays,women,Barbara Ferrell; Margaret Bailes; Mildrette Netter; Wyomia Tyus,,1968-10-19,43.4,43.4,,43.5
4x100m_relays,women,Wilma van den Berg; Mieke Sterk; Truus Hennipman; Corrie Bakker,,1968-10-19,43.4,43.4,,43.49
4x100m_relays,women,Barbara Ferrell; Margaret Bailes; Mildrette Netter; Wyomia Tyus,,1968-10-20,42.8,42.8,,42.88
4x100m_relays,women,Christiane Krause; Ingrid Mickler-Becker; Annegret Richter; Heide Rosendahl,,1972-09-10,42.8,42.8,,42.81
4x100m_relays,women,Petra Kandarr; Renate Stecher; Christina Heinich; Doris Selmigkeit,,1973-09-01,42.6,42.6,,
4x100m_relays,women,Doris Maletzki; Renate Stecher; Christina Heinich; Bärbel Eckert,,1974-08-24,42.6,42.6,,
4x100m_relays,women,Doris Maletzki; Renate Stecher; Christina Heinich; Bärbel Eckert,,1974-09-08,42.51,42.51,,42.51
4x100m_relays,women,Marlies Oelsner; Renate Stecher; Carla Bodendorf; Martina Blos,,1976-05-29,42.50,42.5,,
4x100m_relays,women,Johanna Klier; Monika Hamann; Carla Bodendorf; Marlies Göhr,,1978-08-19,42.27,42.27,,
4x100m_relays,women,Marita Koch; Romy Schneider; Ingrid Auerswald; Marlies Göhr,,1979-06-10,42.10,42.1,,
4x100m_relays,women,Christina Brehmer; Romy Schneider; Ingrid Auerswald; Marlies Göhr,,1979-08-04,42.09,42.09,,
4x100m_relays,women,Romy Müller; Bärbel Wöckel; Ingrid Auerswald; Marlies Göhr,,1980-07-09,42.09,42.09,,
4x100m_relays,women,Romy Müller; Bärbel Wöckel; Ingrid Auerswald; Marlies Göhr,,1980-07-13,41.85,41.85,,
4x100m_relays,women,Romy Müller; Bärbel Wöckel; Ingrid Auerswald; Marlies Göhr,,1980-08-01,41.60,41.6,,
4x100m_relays,women,Silke Gladisch; Marita Koch; Ingrid Auerswald; Marlies Göhr,,1983-07-31,41.53,41.53,,
4x100m_relays,women,Silke Gladisch; Sabine Rieger; Ingrid Auerswald; Marlies Göhr,,1985-10-06,41.37,41.37,,
4x100m_relays,women,Tianna Madison; Allyson Felix; Bianca Knight; Carmelita Jeter,,2012-08-10,40.82,40.82,,
4x400m_relays,men,Harry Schaaf; Mel Sheppard; Harry Gissing; James Rosenberger,United States,1911-09-04,3:18.2Â y,198.2,,
4x400m_relays,men,Mel Sheppard; Charles Reidpath; Ted Meredith; Edward Lindberg,United States,1912-06-15,3:16.6,196.6,,
4x400m_relays,men,Commodore Cochran; Alan Helffrich; Oliver MacDonald; William Stevenson,United States,1924-07-13,3:16.0,196.0,,
4x400m_relays,men,George Baird; Emerson Spencer; Fred Alderman; Ray Barbuti,United States,1928-08-05,3:14.2,194.2,,
4x400m_relays,men,George Baird; Morgan Taylor; Ray Barbuti; Emerson Spencer,United States,1928-08-11,3:13.4Â y,193.4,,
4x400m_relays,men,Maynor Shore; Alvin Hables; Leslie Hables; Ben Eastman,United States,1931-05-08,3:12.6Â y,192.6,,
4x400m_relays,men,Ivan Fuqua; Ed Ablowich; Karl Warner; Bill Carr,United States,1932-08-07,3:08.2,188.2,,3:08.14
4x400m_relays,men,Arthur Wint; Leslie Laing; Herb McKenley; George Rhoden,Jamaica,1952-07-27,3:03.9,183.9,,3:04.04
4x400m_relays,men,Jack Yerman; Earl Young; Glenn Davis; Otis Davis,United States,1960-09-08,3:02.2,182.2,,3:02.37
4x400m_relays,men,Ollan Cassell; Mike Larrabee; Ulis Williams; Henry Carr,United States,1964-10-21,3:00.7,180.7,,
4x400m_relays,men,Robert Frey; Lee Evans; Tommie Smith; Theron Lewis,United States,1966-07-24,2:59.6,179.6,,
4x400m_relays,men,Vincent Matthews; Ron Freeman; Larry James; Lee Evans,United States,1968-10-20,2:56.2,176.2,,2:56.16[4]
4x400m_relays,men,Danny Everett; Steve Lewis; Kevin Robinzine; Butch Reynolds,United States,1988-10-01,2:56.16,176.16,,-
4x400m_relays,men,Andrew Valmon; Quincy Watts; Michael Johnson; Steve Lewis,United States,1992-08-08,2:55.74,175.74,,-
4x400m_relays,men,Andrew Valmon; Quincy Watts; Butch Reynolds; Michael Johnson,United States,1993-08-22,2:54.29,174.29,,-
4x400m_relays,women,Ljubov Finogenova; Tatjana Medvedeva; Tamara Voitenko; Olga Klein,,1969-05-30,3:47.4,227.4,,
4x400m_relays,women,Lilita Zāģere; Anna Dundare; Ingrīda Verbele; Sarmīte Štūla,,1969-06-01,3:43.2,223.2,,
4x400m_relays,women,Jenny Pawsey; Pauline Attwood; Janet Simpson; Lillian Board,,1969-06-22,3:37.6,217.6,,
4x400m_relays,women,Michele Mombet; Éliane Jacq; Nicole Duclos; Colette Besson,,1969-07-06,3:34.2,214.2,,
4x400m_relays,women,Christa Czekay; Antje Gleichfeld; Inge Eckhoff; Christel Frese,,1969-09-19,3:33.9,213.9,,
4x400m_relays,women,Rosemary Stirling; Pat Lowe; Janet Simpson; Lillian Board,,1969-09-20,3:30.8,210.8,,3:30.82
4x400m_relays,women,Bernadette Martin; Nicole Duclos; Éliane Jacq; Colette Besson,,1969-09-20,3:30.8,210.8,,3:30.85
4x400m_relays,women,Rita Kühne; Ingelore Lohse; Helga Seidler; Monika Zehrt,,1971-08-15,3:29.3,209.3,,3:29.28
4x400m_relays,women,Dagmar Käsling; Rita Kühne; Monika Zehrt; Brigitte Rohde,,1972-07-05,3:28.8,208.8,,
4x400m_relays,women,Dagmar Käsling; Rita Kühne; Helga Seidler; Monika Zehrt,,1972-09-09,3:28.5,208.5,,3:28.48
4x400m_relays,women,Dagmar Käsling; Rita Kühne; Helga Seidler; Monika Zehrt,,1972-09-10,3:23.0,203.0,,3:22.95
4x400m_relays,women,Doris Maletzki; Brigitte Rohde; Ellen Streidt; Christina Brehmer,,1976-07-31,3:19.2,199.2,,3:19.23
4x400m_relays,women,Kirsten Siemon; Sabine Busch; Dagmar Rübsam; Marita Koch,,1982-09-11,3:19.04,199.04,,
4x400m_relays,women,Gesine Walther; Sabine Busch; Dagmar Rübsam; Marita Koch,,1984-06-03,3:15.92,195.92,,
4x400m_relays,women,Tatyana Ledovskaya; Olga Nazarova; Mariya Pinigina; Olga Bryzgina,,1988-10-01,3:15.17,195.17,,
5000m,men,George Touquet-Daunis,FRA,1897-10-31,16:34.6,994.6,,
5000m,men,George Touquet-Daunis,FRA,1899-05-22,16:29.2,989.2,,
5000m,men,Charles Bennett,GBR,1900-07-22,15:29.8,929.8,,
5000m,men,Alfred Shrubb,GBR,1904-06-13,14:59.0,899.0,,
5000m,men,Hannes Kolehmainen,FIN,1912-07-10,14:36.6,876.6,,
5000m,men,Paavo Nurmi,FIN,1922-09-12,14:35.4,875.4,,
5000m,men,Paavo Nurmi,FIN,1924-06-19,14:28.2,868.2,,
5000m,men,Lauri Lehtinen,FIN,1932-06-19,14:17.0,857.0,,
5000m,men,Taisto Mäki,FIN,1939-06-16,14:08.8,848.8,,
5000m,men,Gunder Hägg,SWE,1942-09-20,13:58.2,838.2,,
5000m,men,Emil Zátopek,TCH,1954-05-30,13:57.2,837.2,,
5000m,men,Vladimir Kuts,URS,1954-08-29,13:56.6,836.6,,
5000m,men,Chris Chataway,GBR,1954-10-13,13:51.6,831.6,,
5000m,men,Vladimir Kuts,URS,1954-10-23,13:51.2,831.2,,
5000m,men,Sandor Iharos,HUN,1955-09-10,13:50.8,830.8,,
5000m,men,Vladimir Kuts,URS,1955-09-18,13:46.8,826.8,,
5000m,men,Sandor Iharos,HUN,1955-10-23,13:40.6,820.6,,
5000m,men,Gordon Pirie,GBR,1956-06-19,13:36.8,816.8,,
5000m,men,Vladimir Kuts,URS,1957-10-13,13:35.0,815.0,,
5000m,men,Ron Clarke,AUS,1965-01-16,13:34.8,814.8,,
5000m,men,Ron Clarke,AUS,1965-02-01,13:33.6,813.6,,
5000m,men,Ron Clarke,AUS,1965-06-04,13:25.8,805.8,,
5000m,men,Kipchoge Keino,KEN,1965-11-30,13:24.2,804.2,,
5000m,men,Ron Clarke,AUS,1966-07-05,13:16.6,796.6,,
5000m,men,Lasse Virén,FIN,1972-09-14,13:16.4,796.4,,
5000m,men,Emiel Puttemans,BEL,1972-09-20,13:13.0,793.0,,
5000m,men,Dick Quax,NZL,1977-07-05,13:12.9,792.9,,
5000m,men,Henry Rono,KEN,1978-04-08,13:08.4,788.4,,
5000m,men,Henry Rono,KEN,1981-09-13,13:06.20,786.2,,
5000m,men,David Moorcroft,GBR,1982-07-07,13:00.41,780.41,,
5000m,men,Saïd Aouita,MAR,1985-07-27,13:00.40,780.4,,
5000m,men,Saïd Aouita,MAR,1987-07-27,12:58.39,778.39,,
5000m,men,Haile Gebrselassie,ETH,1994-06-04,12:56.96,776.96,,
5000m,men,Moses Kiptanui,KEN,1995-06-08,12:55.30,775.3,,
5000m,men,Haile Gebrselassie,ETH,1995-08-16,12:44.39,764.39,,
5000m,men,Haile Gebrselassie,ETH,1997-08-13,12:41.86,761.86,,
5000m,men,Daniel Komen,KEN,1997-08-22,12:39.74,759.74,,
5000m,men,Haile Gebrselassie,ETH,1998-06-13,12:39.36,759.36,,
5000m,men,Kenenisa Bekele,ETH,2004-05-31,12:37.35,757.35,,
5000m,men,Joshua Cheptegei,UGA,2020-08-14,12:35.36,755.36,,
5000m,women,Paola Pigni,ITA,1969-05-11,16:17.4,977.4,,
5000m,women,Paola Pigni,ITA,1969-09-02,15:53.6,953.6,,
5000m,women,Natalia Mărășescu,ROM,1977-03-16,15:41.4,941.4,,
5000m,women,Janice Merrill,USA,1977-07-11,15:37.0,937.0,,
5000m,women,Kathy Mills,USA,1978-05-26,15:35.52,935.52,,
5000m,women,Janice Merrill,USA,1979-05-19,15:33.8,933.8,,
5000m,women,Janice Merrill,USA,1980-03-22,15:30.6,930.6,,
5000m,women,Ingrid Kristiansen,NOR,1981-07-11,15:28.43,928.43,,
5000m,women,Yelena Sipatova,URS,1981-09-06,15:24.6,924.6,,
5000m,women,Paula Fudge,GBR,1981-09-13,15:14.51,914.51,,
5000m,women,Anne Audain,NZL,1982-03-17,15:13.22,913.22,,
5000m,women,Mary Tabb,USA,1982-06-05,15:08.26,908.26,,
5000m,women,Zola Budd,RSA,1984-01-05,15:01.83Â [a],901.83,,
5000m,women,Ingrid Kristiansen,NOR,1984-06-28,14:58.89,898.89,,
5000m,women,Zola Budd,GBR,1985-08-26,14:48.07,888.07,,
5000m,women,Ingrid Kristiansen,NOR,1986-08-05,14:37.33,877.33,,
5000m,women,Fernanda Ribeiro,POR,1995-07-22,14:36.45,876.45,,
5000m,women,Dong Yanmei,CHN,1997-10-21,14:31.27,871.27,,
5000m,women,Jiang Bo,CHN,1997-10-23,14:28.09,868.09,,
5000m,women,Elvan Abeylegesse,TUR,2004-06-11,14:24.68,864.68,,
5000m,women,Meseret Defar,ETH,2006-06-03,14:24.53,864.53,,
5000m,women,Meseret Defar,ETH,2007-06-15,14:16.63,856.63,,
5000m,women,Tirunesh Dibaba,ETH,2008-06-06,14:11.15,851.15,,
5000m,women,Letesenbet Gidey,ETH,2020-10-07,14:06.62,846.62,,
5000m,women,Faith Kipyegon,KEN,2023-06-09,14:05.20,845.2,,
5000m,women,Gudaf Tsegay,ETH,2023-09-17,14:00.21,840.21,,
5000m,women,Beatrice Chebet,KEN,2025-07-05,13:58.06,838.06,,
800m,men,J. Blackwood,Great Britain,1857-04-25,2.05.0y,125.0,,
800m,men,Wiliam Way,Great Britain,1859-11-25,2.04.0y,124.0,,
800m,men,Charlie Grey,Ireland,1861-06-27,2.03.0y,123.0,,
800m,men,Percy Thornton,Great Britain,1865-12-16,2.03.0y,123.0,,
800m,men,Percy Thornton,Great Britain,1865-12-16,2.02.5y,122.5,,
800m,men,Francis Pelham,Great Britain,1867-03-23,2.02.4y,122.4,,
800m,men,Kinross Gair,Great Britain,1867-06-26,2.01.0y,121.0,,
800m,men,George Templer,United States,1872-03-27,2.01.0y,121.0,,
800m,men,Thomas Christie,United States,1872-03-27,2.01.0y,121.0,,
800m,men,Arthur Pelham,Great Britain,1873-03-26,1.59.8y,119.8,,
800m,men,Walter Slade,Great Britain,1876-06-05,1.59.5y,119.5,,
800m,men,Walter Slade,Great Britain,1876-06-06,1.58.8y,118.8,,
800m,men,Walter Slade,Great Britain,1876-06-10,1.58.2y,118.2,,
800m,men,Frederic Elborough,Great Britain,1876-10-07,1.57.5y,117.5,,
800m,men,Lawrence Myers,United States,1880-07-17,1.56.2y,116.2,,
800m,men,Lawrence Myers,United States,1881-07-02,1.55.8y,115.8,,
800m,men,Lawrence Myers,United States,1881-10-08,1.55.6y,115.6,,
800m,men,Lawrence Myers,United States,1882-09-16,1.55.6y,115.6,,
800m,men,Lawrence Myers,United States,1884-07-07,1.55.4y,115.4,,
800m,men,Lawrence Myers,United States,1885-10-03,1.55.4y,115.4,,
800m,men,Francis Cross,Great Britain,1888-03-09,1.54.6y,114.6,,
800m,men,Walter Dohm,United States,1891-09-19,1.54.5y,114.5,,
800m,men,Charles Kilpatrick,United States,1895-09-21,1.53.4y,113.4,,
800m,men,Melvin Sheppard,United States,1908-07-21,1.52.8,112.8,,
800m,men,Emilio Lunghi,Italy,1909-09-15,1.52.1y,112.1,,
800m,men,Ted Meredith,USA,1912-07-08,1:51.9+,111.9,,
800m,men,Otto Peltzer,GER,1926-07-03,1:51.6y,111.6,,
800m,men,Sera Martin,FRA,1928-07-14,1:50.6,110.6,,
800m,men,Tommy Hampson,GBR,1932-08-02,1:49.8,109.8,,1:49.70
800m,men,Ben Eastman,USA,1934-06-16,1:49.8y,109.8,,
800m,men,Glenn Cunningham,USA,1936-08-20,1:49.7,109.7,,
800m,men,Elroy Robinson,USA,1937-07-11,1:49.6y,109.6,,
800m,men,Sydney Wooderson,GBR,1938-08-20,1:48.4+,108.4,,
800m,men,Rudolf Harbig,GER,1939-07-15,1:46.6,106.6,,
800m,men,Roger Moens,BEL,1955-08-03,1:45.7,105.7,,
800m,men,Peter Snell,NZL,1962-02-03,1:44.3+,104.3,,
800m,men,Ralph Doubell,AUS,1968-10-15,1:44.3,104.3,,1:44.40
800m,men,Dave Wottle,USA,1972-07-01,1:44.3,104.3,,
800m,men,Marcello Fiasconaro,ITA,1973-06-27,1:43.7,103.7,,
800m,men,Alberto Juantorena,CUB,1976-07-25,1:43.5,103.5,,1:43.50
800m,men,Alberto Juantorena,CUB,1977-08-21,1:43.4,103.4,,1:43.44
800m,men,Sebastian Coe,GBR,1979-07-05,1:42.4,102.4,,1:42.33
800m,men,Sebastian Coe,GBR,1981-06-10,1:41.73,101.73,,
800m,men,Wilson Kipketer,DEN,1997-07-07,1:41.73,101.73,,
800m,men,Wilson Kipketer,DEN,1997-08-13,1:41.24,101.24,,
800m,men,Wilson Kipketer,DEN,1997-08-24,1:41.11,101.11,,
800m,men,David Rudisha,KEN,2010-08-22,1:41.09,101.09,,
800m,men,David Rudisha,KEN,2010-08-29,1:41.01,101.01,,
800m,men,David Rudisha,KEN,2012-08-09,1:40.91,100.91,,
800m,women,Georgette Lenoir,FRA,1922-08-20,2:30.4+,150.4,,
800m,women,Mary Lines,GBR,1922-08-30,2:26.6y,146.6,,
800m,women,Lina Radke,GER,1927-08-07,2:23.8,143.8,,
800m,women,Inga Gentzel,SWE,1928-06-16,2:20.4,140.4,,
800m,women,Lina Radke,GER,1928-07-01,2:19.6,139.6,,
800m,women,Lina Radke,GER,1928-08-02,2:16.8,136.8,,
800m,women,Zdeněk Koubek,CSK,1934-06-14,2:16.4*,136.4,,
800m,women,Zdeněk Koubek,CSK,1934-08-10,2:12.4*,132.4,,
800m,women,Anna Larsson,SWE,1944-08-28,2:15.9,135.9,,
800m,women,Anna Larsson,SWE,1945-08-19,2:14.8,134.8,,
800m,women,Anna Larsson,SWE,1945-08-30,2:13.8,133.8,,
800m,women,Yevdokiya Vasilyeva,URS,1950-07-17,2:13.0,133.0,,
800m,women,Valentina Pomogayeva,URS,1951-07-26,2:12.2,132.2,,
800m,women,Nina Otkalenko,URS,1951-08-26,2:12.0,132.0,,
800m,women,Nina Otkalenko,URS,1952-06-15,2:08.5,128.5,,
800m,women,Nina Otkalenko,URS,1953-08-27,2:07.3,127.3,,
800m,women,Nina Otkalenko,URS,1954-09-16,2:06.6,126.6,,
800m,women,Nina Otkalenko,URS,1955-09-24,2:05.0,125.0,,
800m,women,Lyudmila Shevtsova,URS,1960-07-03,2:04.3,124.3,,
800m,women,Lyudmila Shevtsova,URS,1960-09-07,2:04.3,124.3,,2:04.50
800m,women,Dixie Willis,AUS,1962-03-03,2:01.2+,121.2,,
800m,women,Ann Packer,GBR,1964-10-20,2:01.1,121.1,,
800m,women,Judy Pollock,AUS,1967-06-28,2:01.0,121.0,,
800m,women,Vera Nikolic,YUG,1968-07-20,2:00.5,120.5,,
800m,women,Hildegard Falck,FRG,1971-07-11,1:58.5,118.5,,1:58.45
800m,women,Svetla Zlateva,BUL,1973-08-24,1:57.5,117.5,,1:57.48
800m,women,Valentina Gerasimova,URS,1976-06-12,1:56.0,116.0,,
800m,women,Tatyana Kazankina,URS,1976-07-26,1:54.9,114.9,,1:54.94
800m,women,Nadezhda Olizarenko,URS,1980-06-12,1:54.9,114.9,,1:54.85
800m,women,Nadezhda Olizarenko,URS,1980-07-27,1:53.5,113.5,,1:53.43
800m,women,Jarmila Kratochvílová,TCH,1983-07-26,1:53.28,113.28,,
